Name,Org Type 1,Org Type 2,Org Type 3,Org Type 4,Org Type 5,Org Type 6,Primary eMail,Website,Telephones,Main Address,Main Address State,Registered Address,Registered Address State,Contact 1 Name,Contact 1 Designation,Contact 1 eMail,Contact 1 Telephones,Contact 2 Name,Contact 2 Designation,Contact 2 eMail,Contact 2 Telephones,Brief Information,Year of Establishment,GuideStar Url
SHRI PANCH NAVTANPURI DHAM KHIJADA MANDIR TRUST,Advocacy & Campaigning,Support,,,,,,htts://www.krishnapranami.org,"919374122228,918347497474","Navtanpuri Dham Chowk,Nr Khambhaliya Gate,Jamnagar,Gujarat,361001",Gujarat,,,,,,,,,,,"Shri 5 Navtanpuri Dham is the prominent religious & spiritual center situated near the ancient Khambhalia Gate of Jamnagar city in Gujarat. This peeth was founded by Nijanand Swami Shri Devchandraji in 1630. He named it as 'Navtanpuri Dham'. Mahamati Prannathji (the son of Keshav Thakur, the then Chief Minister of the Jamnagar State) was the foremost disiple of Achraya Shri Devachandraji Maharaj. Mahamati Prananthji spread this Sampradaya through nooks & corner of the Western, Central, and Northern India. During the course of time Navtanpuri Dham became the prominent Achraya Peeth of Nijanand Sampradaya. Due to the infinite and incessant love, devotion and submission to Shri Krishna as the supreme Authority, the Nijanand sect became famous",1962,http://www.guidestarindia.org/Summary.aspx?CCReg=9252
SHRI VIKAS CHARITABLE TRUST,Advocacy & Campaigning,Direct Service,Network,,,,,,"919723552843,919904124378","C O SHRI RAM COMPUTERS 14 KRISHNA COMPLEX,ST ROAD OPP PATEL SAMAJ VADI DHROL,DHROL,Jamnagar,Gujarat,361210",Gujarat,,,,,,,,,,,"Shri vikas charitable trust is public charitable trust. we are working with livelihood, health and hygiene, women's empowerment, agriculture, migrate child educations, self employments training in Gujarat with governments departments and Donner's.",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=7372
SOACH (Sustainable Option Through Arts Crafts and Humanities),Direct Service,,,,,,,www.soachngo.com,919426015944,"25B Himmatlal Park Society, Near Bima Nagar,Ambawadi,,Ahmedabad,Gujarat,380015",Gujarat,"4, Meera Madhav Apt, 40, Pritamnagar,,Ellisbridge,Ahmedabad,Gujarat,380006",Gujarat,,,,,,,,,To empower women and children particularly of rural india through knowledge and skills.,2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9241
Social Development and Educational Society,Direct Service,Support,,,,,,socialdevelopment.co.in,"919219276328,919219224449","266/173/1, New Basti Bhadewan, Lucknow,Lucknow,Uttar Pradesh,226004",Uttar Pradesh,"293/914, Old Haiderganj, Joshi Tola,,Lucknow,Uttar Pradesh,226003",Uttar Pradesh,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9171
SOCIETY FOR COMMUNITY EDUCATION AND PARTICIPATION (SCEP),Direct Service,Support,,,,,,www.scepindia.com,919490539676,"#7, Phase 1, Street No 1, Venkatadri Township,Narapally,Hyderabad,Rangareddy,Telangana,500088",Telangana,"11-1-27, Seethaphalmandi, Secunderabad,Secunderabad,Hyderabad,Telangana,500061",Telangana,,,,,,,,,"SCEP is a non-governmental organization, with a non-profit outlook has been founded by group of youths in the year 1994 and registered under Andhra Pradesh (Telangana Area) Public Societies Registration Act. The primary aim is to empower the most disadvantaged groups living in the urban, rural and tribal areas of Andhra Pradesh. The initiatives of the organization have drawn from the district level campaigns to grass route level interventions on Skill development, Empowerment of Women, HIV, Education, etc. In the process of the inclusion interventions SCEP has successfully been able to outreach larger group of communities in Telangana and Andhra Pradesh States.",1994,http://www.guidestarindia.org/Summary.aspx?CCReg=9218
SRI SHIRIDI SAINATH SEVA ASHRAM,Direct Service,,,,,,,www.saiashram.org,917978168221,"At - Badua, PO - Golia, , Via  - Buguda,,Ganjam,Odisha,761118",Odisha,,,.Dr.Kumud Chandra Behera,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9181
SRISTI FOUNDATION,Direct Service,,,,,,,http://www.sristivillage.org,"914147233070,919047787887","Sristi Village, Kunamangalam,,Thazhuhtali Post,Tindivanam Taluk, Villupuram District,Viluppuram,Tamil Nadu,604304",Tamil Nadu,"7, Rajaganapathy Nagar, Kakayanthope,,Ariyankuppam,Puducherry,605007",Puducherry,,,,,,,,,,2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9236
STONE TECHNOLOGY FOUNDATION,Direct Service,,,,,,,,"919829052150,911412365232,911412376171","Rastogi House,B-9, Vivekanand Marg C-Scheme,,Jaipur,Rajasthan,302001",Rajasthan,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9180
SUKH SANSAR,Direct Service,,,,,,,http://sukhsansar.patna.googlepages.com,"916122532707,916122532707","M/5,MainRoad,S.K.Nagar,,Patna,Bihar,800001",Bihar,,,Dr Sanjay Kumar Sinha,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9221
SUMATI GRAM HUMAN RIGHTS PROTECTION FORUM,Advocacy & Campaigning,Direct Service,Intermediary,Network,Support,,,,919867499812,"D8, Plot No. 108, Akshay CHS, c/o Sunandan Gas Agency, Gorai 1, Borivali West,,Mumbai,Mumbai Suburban,Maharashtra,400091",Maharashtra,,,,,,,,,,,"Sumati Garm Human Rights Protection Forum is a self-sufficient village for mentally challenged children. Sumati Gram is evolved at village Anjiwade, Taluka Kudal, District Sindhudurg, Maharashtra with 12 acres of land with around 1500 sq ft construction having basic facilities like water and electricity. Here, the basic rule is the barter system, money is not a parameter here. It works on two principles of the nature. 1.	Everyone will get how much they need, extra will not be required.2.	Nothing can be stocked, nothing can be sold.The village aims at making these children self-sufficient. Various activities are involved. SGHRPF holds a national level convention every year called SAAD PRATISAAD in different states from past seven years.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9251
Susheel Foundation,Advocacy & Campaigning,Direct Service,Intermediary,Support,,,,http://www.susheelfoundation.com,919820239306,"B 84, Nibbana CHSL, Pali Hill, Bandra West,Nargis Dutt Road, Nr. Axis Bank,Mumbai,Maharashtra,400050",Maharashtra,"604, Kritika Annexe, Nr. R. K. Studio,,S. T. Road, Chembur,,Mumbai,Maharashtra,400071",Maharashtra,,,,,,,,,"Here at SUSHEEL FOUNDATION we help underprivileged children successfully finish their school. We act as a bridge between the child and the school. We aim to promote and catalyze education among underprivileged children, create a process which embraces them and facilitates them to emerge as a productive asset. This will set a strong platform for every child to represent and contribute to the overall growth and development of the nation.Our vision is of a world, where every child has a life in all its fullness and they hold the power to create an opportunity for themselves.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9231
Swadha Foundation,Direct Service,,,,,,,www.swadhafoundation.org,,,,"5041, 4th Floor, Tower 5, One Bangalore West,1 Rajkumar Road, Rajaji Nagar,,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560010",Karnataka,Rajesh Mandyam,Managing Trustee,,,,,,,"Swadha Foundation offers the best of opportunities to under privileged students who stand out in academics from  district/village schools/junior colleges and help them to make a difference to their self, families, societies, areas/villages/towns.  Our intervention in the lives of these well deserved students starts at 11th  and goes on till completion of under graduation. We currently support 77 students who are 5% of our applicants. Our students come from families  whose family average income is Rs. 65000 (1000 USD approxmately). We go beyond just paying fees but also provide all forms assistance that prepares these students to meet employment & all personality traits required to lead a positive life.",2010,http://www.guidestarindia.org/Summary.aspx?CCReg=9240
THE CENTER FOR APPLIED RESEARCH AND PEOPLE ENGAGEMENT,Direct Service,,,,,,,www.civicresponseteam.com,918007447750,"B-14,,MIDC, Railway Station,Aurangabad,Maharashtra,431005",Maharashtra,"Plot no. 02, Gut no. 46,,Near Zunzunwala Ploting,,Itkheda,,Aurangabad,Maharashtra,431001",Maharashtra,Natasha Zarine,,,,,,,,,2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9197
TRISHLA FOUNDATION,Direct Service,,,,,,,www.trishlafoundation.com,"919415235159,915322468989,919935102728","182C/350A, Tagore Town,Allahabad,Uttar Pradesh,211002",Uttar Pradesh,,,,,,,,,,,Trishla foundation is working for children with special need specially with cerebral palsy. till now trishla foundation has organised 43 camps in which 5000 children has been benefited. at present 5 rehab center at Allahabad is working by which more than 500 children with cerebral palsy who came from many part of india and abroad have been given excellent recovery in term of functional and physical improvement.,2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9233
UMANG FOUNDATION,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,www.umangfound.org,919677010304,"39, 2nd Floor,,Mohammadpur,New Delhi,South Delhi,Delhi,110066",Delhi,,,Sourabh Kumar,,,,,,,,"We started our journey after seeing tribal children working in small shops and hotels. There we thought to do something for our society as we always took something from it. There we started Umang Foundation. 3 years ago, there was no name of recognition of our work as we didn't work on paper. Now we are working for our Environment, educating children, providing training under PMKVY, working for Swachchh Bharat Abhiyan and empowering women.Also we provide free medical health checkup camp where general ambulance can't go.",2017,http://www.guidestarindia.org/Summary.aspx?CCReg=9174
UNAYANA ODISHA TRUST,Direct Service,,,,,,,http://unayanaodisha.org,918763450049,"Near Kamargoda Girls High School, Badahal Colony,Kendujhar,Odisha,758001",Odisha,"At- Qr.No. 2RA51 Unit-9, Road No-6,,, P.S- Kharveelanagar Bhubaneswar,Bhubaneswar,Khordha,Odisha,751022",Odisha,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9207
Vikalp Welfare Society,Direct Service,Support,,,,,,http://vikalpwelfare.org/,"917592404222,917592404222","62,Teachers Colony ,Arjun Nagar Vidisha,74,Krishna Colony Gali No.1,Durga Nagar,Vidisha,Madhya Pradesh,464001",Madhya Pradesh,"62,Teachers Colony,Arjun Nagar,Vidisha,Madhya Pradesh,464001",Madhya Pradesh,,,,,,,,,"Vikalp Welfare Society Vidisha Madhya Pradesh Society Registration Act 1973 as a voluntary organization (No. 44 of 1973) is registered under. The registration number is 13760/2004 in 26.06.2004. The basic purpose of the organization, following the practice of the principle of participation of community development is to achieve a meaningful role to discharge. Discharge of liability of the important parts of the process as we implement projects at the community level and to give special priority to the training and empowerment of women.       We are working for Empowerment of women in the field of rural development institute Malwa NLM, Department of Education, Ministry of Human Resource Development, rehabilitation, Panchayat and Socialarea",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=9226
A New Friends Club,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,,919416484636,"VPO Nidana Distt Jind,Near BSNL Exchange,Nidana,Jind,Haryana,126114",Haryana,,,,,,,,,,,"ANFC founded in July, 2000, is a volunteering movement that inspires youth to volunteer and provides them with meaningful opportunities to serve the community.The goal of ANFC is to support school, destitute shelters, government hospitals and other organization in the social sector through volunteers who can help them mitigate some of their shortcoming and challenges. Volunteering is made easy and customized to individual's interests, time availability and skill sets.",2000,http://www.guidestarindia.org/Summary.aspx?CCReg=9383
"AAO SAI SEWA SAMITI, FARIDABAD",Support,,,,,,,www.aaosaisewasamiti.com,"919868370820,919811838748","C-12, Ground Floor,,Shiv Durga Vihar,Dayal Bagh,Suraj Kund,,Faridabad,Haryana,121009",Haryana,"C-12, Ground Floor,Shiv Durga Vihar,Dayal Bagh,Suraj Kund,,Faridabad,Haryana,121009",Haryana,,,,,,,,,"Aao Sai Sewa Samiti is an independent non-profit organisation founded in August 15, 2006 by a small group of people for the betterment of society build a better India tomorrow. The organization provides youngsters a platform to serve the society and bridges the gap between educated and uneducated and also provides free health care services. The volunteers educate and mentor children from orphanages, slum and village community centers across the country for their better future.The organization works for the social development and integration of underprivileged individuals, groups and communities. The effort is to facilitate access to basic, fundamental and social requirements of the marginalized sections. The aim to break the cycle of poverty and social isolation and to restore hope for a better future. Aao Sewa Samiti has implemented many initiatives in the area of education, care of helpless, health camps and promotion of Sai teachings.Our main focus is to meet the aims of the welfare of our society. We want to educate more and more children. We want to help the people who suffer from various problems which they couldn’t afford to cure.We want to promote Lord Sai Nath’s teachings by shraddha and saburi and our broadest goal is to help people by the limited resources available in our hands or what we are capable of.To promote harmony, brotherhood, to oppose the social evils, to arrange more and more religious programmes, the blood donation camps, health camps and education etc.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9386
AARADHYA FOUNDATION,Direct Service,,,,,,,,918878447414,"46/1, Lig, C/O Jitendra Singh,Nav Jeevan Vihar, Vindhyanagar,Waidhan,Singrauli,Madhya Pradesh,486885",Madhya Pradesh,"H. No. B-47/A Old No. B-47, Second Floor Gali No. -1,West Vinod Nagar, Nr- Mangalam Hospital,East Delhi,Singrauli,Madhya Pradesh,110092",Madhya Pradesh,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9467
Aashray Society,Direct Service,,,,,,,http://www.aashray-india.org,"911204213440,911204213440","1772, ATS Greens Village,Sector 93A,Noida,Gautam Buddha Nagar,Uttar Pradesh,201304",Uttar Pradesh,,,Dr. Gyanendra Narayan Pandey,,,,,,,,"Aashray Society has been in operation since 2002. We are a nonprofit society dedicated to the cause of creating sustainable projects in educating the children of construction site workers, rag pickers, rickshaw pullers, vegetable vendors etc.",2002,http://www.guidestarindia.org/Summary.aspx?CCReg=9396
AFIFA FOUNDATION,Direct Service,Support,,,,,,www.afifafoundation.org,919595595556,"Afifa Foundation House,,Vill: Andhuwakol, Post: Belwa,,Kishanganj,Bihar,855107",Bihar,"Afifa Foundation House, Near Jama Masjid, Vill: Andhuwakol, Post: Belwa,,Kishanganj,Bihar,855107",Bihar,,,,,,,,,"afifa foundation is non profitable, non governmental, non political organization located in Kishanganj, Bihar, India.Working in sustainable development through Digital transformation, Health for children and women, Women's empowerment, agriculture, renewal energy, education and training of economical week citizens.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9434
Agni Rural Welfare Society,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,,919831460161,"47 School Road,South 24 Parganas,West Bengal,700151",West Bengal,"47 School Road,P.O-Dakshin Jagaddal,kolkata,South 24 Parganas,West Bengal,700151",West Bengal,,,,,,,,,We are a non-government and non-profit organization working intensively in the semi urban region of South 24 Parganas District of West Bengal.Our operational area is presently at Sonarpur Block but ready to extend little broader region in the entire Baruipur sub division.Agni Rural welfare Society was established in 2008 at by the fumigation of some energetic youth who basically realize that proper youth development is necessary for the growth of mankind though disciplinary measures. Our vision statement is to spread awareness amongst youngsters about their responsibility towards our society to make it a better living place for all.,2008,http://www.guidestarindia.org/Summary.aspx?CCReg=9446
ANAHAD FOUNDATION,Advocacy & Campaigning,Direct Service,Intermediary,Network,Support,,,https://www.anahad.org,919811545089,"36(Terrace Floor), Pocket D,Mayur Vihar 2,New Delhi,East Delhi,Delhi,110091",Delhi,,,Abhinav Agrawal,,,,,,,,"Anahad Foundation, registered under Section-25 (Not for Profit), is a musical-social enterprise which emphasises in enriching and enhanced interaction of all the regional folklore, classical, and contemporary forms of music in India with the existing conditions and barriers in society. Our activities include research-documentation of Indian musical heritage, folk fusion music collaboration projects and live festivals. We research and document cultural folks which are facing crisis in order to survive, so that we could make a progressive and positive impact on the society.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9433
ANBAG FOUNDATION,Support,,,,,,,,"919871288388,911244100278","E-9, Surbhi Apartments, Plot No. GH-10, Sector-43,Gurgaon,Gurugram,Haryana,122009",Haryana,,,,,,,,,,,"Anbag Foundation is located in Gurgaon, Haryana.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9457
ARANYA FOUNDATION,Advocacy & Campaigning,Grant-making,Support,,,,,www.aranya.foundation,918860635300,"House No 1103, Abhinandan CGHS Ltd,,Plot No. GH-08, Sector 51,,Gurugram,Haryana,122002",Haryana,"B2/2287, Vasant Kunj,Vasant Kunj,South Delhi,Delhi,110070",Delhi,,,,,,,,,"Aranya Foundation was founded in the year 2015, the founder was moved by the plight of OPD patients and their attendants cooking their own food outside the AIIMS in Delhi, while waiting to queue for getting OPD slips. It was felt that these multitudes should be fed with cooked dinner. Hence started the noble cause with distribution of 100 meals per day. It is planned to feed nearly 1400 persons per day in near future.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9456
ARASAN RURAL DEVELOPMENT SOCIETY,Advocacy & Campaigning,Direct Service,Grant-making,Network,Support,,,www.ardsindia.org,910944315042,"129-D, Anasalai,Anna Statue (Silai),Naguneri,Tirunelveli,Tamil Nadu,627501",Tamil Nadu,"129-D, Anasalai,Kalakad bustand,Kalakad,Tirunelveli,Tamil Nadu,627501",Tamil Nadu,,,,,,,,,"Arasan Rural Development Society (ARDS), is a Registered non-Governmental charitable organization Registered under Tamil Nadu Societies Registration Act 27 of 1975 in the year 1988.  A group of likeminded, committed and distinguished social workers organized a meeting on 20th  August 1988 and discussed the emerging social and economic backwardness of the marginalized,  disadvantaged and the most vulnerable communities  in Tirunelveli district.  They decided to register an organization called ‘Arasan Vidhyalaya’ and later renamed the organization into ‘Arasan Rural Development Society’ to suit their vision and mission.       The basic aims and objectives of the organization facilitate and guide the rural and urban poor",1988,http://www.guidestarindia.org/Summary.aspx?CCReg=9369
ARJUN FOUNDATION,Direct Service,Support,,,,,,www.arjunfoundation.co.in,919934881900,"Arjun Market, Chandi Bazar, P.O. – Siknderpur,,P.S. – G. B. Nagar Tarwara via Goryakothi, Block – Barharia,,Siwan,Bihar,841434",Bihar,,,,,,,,,,,"Arjun Foundation is located in Siwan, Bihar.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9412
ARUNACHAL WOMEN & CHILD WELFARE SOCIETY,Support,,,,,,,,919436048135,"Village-Remi, P.O P.S- Dambuk, Lower Dibang Valley,Dambuk,Lower Dibang Valley,Arunachal Pradesh,792110",Arunachal Pradesh,,,,,,,,,,,"Arunachal Women & Child Welfare Society is located in Dambuk, Arunachal Pradesh.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=9419
BABU EDUCATIONAL SOCIETY,Direct Service,Grant-making,Network,Support,,,,http://www.babuesociety.org/,"919010310400,919912415444,919652709459","Sana Polytechnic College,NH- 65,Kodad,Nalgonda,Telangana,508206",Telangana,,,,,,,,,,,Masjid Construction repair maintenance of places of worship religious schools schools colleges hospitals community halls dharmshala hostels for poor students Grant of stipend scholarship assistance for poor self employment training adult literacy programs Welfare orphans Empowerment of women children free medical health family immunization camps Supply of free medicine and medical aids Tricycles calipers to the handicapped Provision of free clothing food to the poor Needy and destitute Relief Rehabilitation of victims of natural calamities Digging of bore wells Welfare Schedules Castes Tribes Construction and Management of Old age home Welfare of the aged widows Construction and Management of Orphanage 17 years services beneficiaries 2700,2000,http://www.guidestarindia.org/Summary.aspx?CCReg=9395
Bangabari Adarsha Siksha Pratisthan,Direct Service,,,,,,,,919800303833,"Vill-Bangabari, P.O-Chandipur, P.S-Harishchandrapur,,Borol Market,Bangabari,Malda,West Bengal,732140",West Bengal,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9438
Baselei Institute of Social Welfare Art Agriculture & Science(BISWAAS),Direct Service,,,,,,,,918895332332,"At. P.o- Baharana, Niali,Niali,Cuttack,Odisha,754004",Odisha,,,,,,,,,,,,1996,http://www.guidestarindia.org/Summary.aspx?CCReg=7236
Belda Society to Promote Awareness and Concern for Environment,Direct Service,,,,,,,www.space.org.in,"919476112876,913229255042,913229255255,918637315216","'SPACE',At-Susinda,P.O.&P.S.-Belda,Susinda,Belda,West Medinipur,West Bengal,721424",West Bengal,,,,,,,,,,,,2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9455
Bhanru Ramkrishnapur Gramin Unnayan Sanstha,Advocacy & Campaigning,Direct Service,Support,,,,,www.brgus.org.in,"919836290593,917890686702","Vill & P.O. – Bhanru Ramkrishnapur,  P.S. – Bishnupur,South 24 Parganas,West Bengal,743610",West Bengal,,,,,,,,,,,"BHANRU RAMKRISHNAPUR GRAMIN UNNAYAN SANSTHA started its journey from 2005 as a Non-Government, voluntary organization seeking to reach out most marginalized and vulnerable communities of the people of South 24 Parganas district of west Bengal of India.",2005,http://www.guidestarindia.org/Summary.aspx?CCReg=9397
BHARAT JYOTI,Direct Service,Support,,,,,,,919937191097,"Jhanjirimangala,Telegabazar,Cuttack,Odisha,753009",Odisha,"At Behind New L.I.C Colony,Cuttack,Odisha,753012",Odisha,,,,,,,,,,1994,http://www.guidestarindia.org/Summary.aspx?CCReg=7694
Bhola Institutional Trust,Direct Service,,,,,,,,"916512250898,916512250898","108, Himadri Apartment, Doranda,,Ranchi,Jharkhand,834002",Jharkhand,,,Anil Kumar,,,,,,,,,2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9375
Bundelkhand Sarv Samaj Kalyan Samiti,Direct Service,Support,,,,,,,917309617151,"497/498 Ansari Compound Mashiaganj Sipri Bazar Jhansi,Jhansi,Uttar Pradesh,284003",Uttar Pradesh,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9402
Centre for Integrated Development,Network,Support,,,,,,www.cidindia.org,"917512433343,917512433343","101, Shivalik Apartment, Mlb Colony, Padav ,Gwalior,Opposite Miss Hill School,Lashkar,Gwalior,Madhya Pradesh,474002",Madhya Pradesh,"Shivalik Apartment, Opp. Miss Hill School,,Maharani Laxmi Bai Colony, Near Padav,,Gwalior,Madhya Pradesh,474002",Madhya Pradesh,Dr Vijay Gupta,,,,,,,,"Centre for Integrated Development is located in Gwalior, Madhya Pradesh.",1992,http://www.guidestarindia.org/Summary.aspx?CCReg=9363
CHANDRA DEV CHARITABLE SOCIETY,Support,,,,,,,,919422460330,"276 A Chandra Dev Banglow ,Saleshswar Society,Near Rto ,Bijapur Road,Solapur,Maharashtra,413004",Maharashtra,,,Adv.Devendra Agase,,,,,,,,,2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9373
CHAPAR COMMERCIAL INSTITUTE,Direct Service,,,,,,,www.chpar commercial institute. com,919854948091,"Chapar I.T.I Building,Near S.B.I,Chapar Town,Dhubri,Assam,783371",Assam,"Vill & P.O.- Chapar,Dhubri,Assam,783371",Assam,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9274
COMMUNITY REFORMATION & DEVELOPMENT FOUNDATION (CRD FOUNDATION),Advocacy & Campaigning,Direct Service,Network,Support,,,,NA,917578001289,"Dohali, Batarhat, Kamrup (R)Assam,Palashbari,Kamrup,Assam,781122",Assam,,,Pabitra Nath,,,,,,,,"Art School,Electrician training programme ,Embroidery and designing training centre ,Exhibition of handicrafts and handloom product ,Workshop on handicrafts and handloom product,Library Expense,Expanses  of food processing unit,Computer training centre ,Handloom and handicraft training centre ,Souvenir exp ,Celibration & observation,Expernditure for Green Earth programme, Base line survey and mobilision on wood,cane & bamboo,SHG formation,Workshop on SHG ‘Youth development programme ‘Cultural show’,Road sefty programme ‘Relief reh to weaker section’ Drug abuse and de adiction camp,Awareness camp for articizens identity card ,Disiegne development workshop on cane furniture,Skill upgradition training programme on cane furniture,Awareness camp",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=9451
ENRICHING LIVES INSPIRING MINDS FOUNDATION,Advocacy & Campaigning,Direct Service,Support,,,,,http://elimfoundation.org,918002096655,"489/4, Nand Bhawan, Professor's Colony,,St. Columbas School Lane,Deoghar,Jharkhand,814113",Jharkhand,"Village Dubaidhi, PO Kalajhar,PS Katikund,Dumka,Jharkhand,814103,CERTIFICATE OF INCORPORATION (2).PDF",Jharkhand,Joseph Meagher,President,,,Mohit Kumar,Director,info@elimfoundation.org,,"​Enriching Lives Inspiring Minds FoundationA Registered Charity Under Section 8 of the Companies Act 2013 | CIN:U85320JH2017NPL009845 | PAN:AAECE6046R | Section 8 License Number : License No 109059 | NITI Aayog, Government of India Unique ID : JH/2017/0150341 | GuideStar # 9342 | International Bridge # 1178527404",2017,http://www.guidestarindia.org/Summary.aspx?CCReg=9342
EVERGREEN EUREKA,Support,,,,,,,,919934744956,"Anand Vihar colony,Sahbajpur,P.O.-Uma Nagar,,Muzaffarpur,Bihar,842004",Bihar,,,Navin  Kumar,,,,,,,,"EVERGREEN EUREKA has passed another colorful year of activities during 2016-17 on the eve of new millennium, we convey our heartful thanks to all who cooperated with us for fulfillment of our plan and programme. The organization is a got registered group working for the socio-economic development of the weaker section of the people specially for the welfare of the most distressed and depressed women belonging to SCs, STs, Minorities and backward communities. It is a voluntary organization registered in 2007 under the Bihar societies Registration Act, 21, 1860. It is mainly organized and oriented for the welfare of target group belonging to women folk of most distressed communities through promotional, cultural economic and all round development.",2007,http://www.guidestarindia.org/Summary.aspx?CCReg=9381
GAON GATHANA SAMITI,Direct Service,Intermediary,Support,,,,,,"919437160259,919937505124","At-Charigharia,Po-Harirajpur,Ps-Banki,,Near Sani Temple,Cuttack,Odisha,754008",Odisha,"At-Charigharia,Po-Harirajpur,Ps-Banki,,SIMILIPUR,Near Sani Temple,BANKI,Cuttack,Odisha,754008",Odisha,,,,,,,,,"GGS is a state level non government organisation working for downtrodden people of the rural area of Odisha.We promote SHG to empower women and create aware awareness about financial  inclusion and literacy by wall painting stickers in Bus and auto .We are working for environment issues like pollution ,global warming .We promote Farmers club in agricultural belt to facilitate them through Government Scheme for farmers.GGS also work for child labour issues .",1994,http://www.guidestarindia.org/Summary.aspx?CCReg=6818
"GRAM VIKAS MANCH, PRASIYAN KHURD",Support,,,,,,,,919934834874,"Village - Prasiyan Khurd, P.O. - Semari, Block - Dawat,,Dawat,Rohtas,Bihar,802211",Bihar,,,,,,,,,,,"Gram Vikas Manch Prasiyan Khurd is located in Dawat, Bihar.",1991,http://www.guidestarindia.org/Summary.aspx?CCReg=9442
GYAN SAROVAR SHIKSHA EVAM JAN KALYAN SAMITI,Support,,,,,,,,919425148702,"5 Near Gas Agency S.A.T.I. Road,,Vidisha,Madhya Pradesh,464001",Madhya Pradesh,,,,,,,,,,,"Gyan Sarovar Shiksha Evam Jan Kalyan Samiti is located in Vidisha, Madhya Pradesh.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=9473
Hadimba Mahila Kalian Society,Direct Service,Grant-making,,,,,,,919736401805,"1St Floor Employment Exchange Ghumarwin,Bilaspur Dhakri Chowk Ghumarwin,Dhakri Chowk,Bilaspur,Himachal Pradesh,174021",Himachal Pradesh,,,,,,,,,,,"WORKS RELATED TO EDUCTION,SKILL DEVELOPMENT PROGREAMS,TB AWARENESS PROGRAMS.HEALTH AWARENESS PROGRAM",2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9449
HARIJAN MAHILA EVAM BAL VIKASH SANSTHAN,Direct Service,,,,,,,,919431281604,"North Ringh Bandh,Behind Kiran Talkies,Sitamarhi,Near Kiran Cinema,Sitamarhi,Bihar,843302",Bihar,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9380
